gx,gy,gz,ax,ay,az,label
362595432,-3740458,22671756,-1081543,38085936,91967776,0
291984732,-2493893,9839695,-83496092,3955078,954101568,0
-34267172,16847328,29183206,-1616211,-10595703,10595703,0
77099232,46106872,-78625952,-11694336,21240234,9165039,0
7633588,-83206104,0,-115722652,25634766,904541,0
-14503818,15877863,-99236648,-12402344,21240234,8925781,0
8396947,488549632,-129771,-12451172,1928711,89819336,0
-16793894,5954198,-7633588,-12011719,22216796,8996582,0
-22900764,9389313,-99236648,-119628904,1928711,9116211,0
-14961832,55725192,-25648854,-11352539,16357422,907959,0
-3312977,-358778632,-4778626,-11254883,397949216,87475584,0
58778624,2091603,-42519084,-11352539,390625,8779297,0
-114503816,-3129771,-14503818,-11816406,234375,90405272,0
-3816794,6259542,53435112,-12036133,29296875,889648464,0
-7633588,2977099,-16793894,-12695312,28564454,8925781,0
-1167939,-2977099,-6870229,-12866211,22949218,907714832,0
-91603052,-198473292,1908397,-12524414,17822266,89990232,0
-2977099,5801527,-57251908,-12084961,214843736,90185544,0
-22900764,13435115,0,-119140624,29541016,895751936,0
17557252,83206104,10610686,-118896488,22460938,8935547,0
-26717558,7557252,-5496183,-125,24169922,894531264,0
-32824428,1091603,-45801528,-12133789,21728516,9157715,0
2519084,8015267,-53435112,-12866211,28076172,8947754,0
-15267176,32061068,-22900764,-12036133,25146484,8996582,0
15267176,12290076,45038168,-12524414,25146484,9042969,0
10687023,99236643,15267176,-119140624,26123046,904785136,0
-15267176,4961832,-7633588,-12841797,26855468,90234376,0
-419847336,6793893,-33587788,-1262207,24902344,9038086,0
-3053435,5496183,-3816794,-12231445,21728516,90283204,0
-6870229,6870229,-5496183,-11035156,36621092,885498064,0
-7633588,778625968,-13740458,-12109375,27832032,88842776,0
102771,-36732828,-52541984,-9667969,11484375,115478516,1
1689313,400,4746565,64941408,12915039,5944824,1
-50580156,-6625954,99236648,24926758,53344724,8178711,1
25012978,25012978,25012978,-20,-20,1999939,1
961832064,-16462596,-2501374,-43164062,-62768552,1072998,1
-21503816,-78900768,-11364886,-56152344,-167968752,1001709,1
